x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
778.32,2472.34,75,2,-89.82,11.22,,,
375.58,2472.59,75,2,-80.4,18.3,,,
576.79,2475.31,75,13,-96.86,2.74,,,
-181.11,2479.76,75,2,-81.18,12.0,,,
-230.21,2482.3,75,1,-83.84,15.0,,,
980.47,2483.6,75,13,-88.11,9.71,,,
173.32,2483.63,75,8,-85.86,15.17,,,
-31.96,2484.27,75,1,-77.4,15.21,,,
778.33,2487.31,75,2,-88.07,9.28,,,
375.58,2487.55,75,2,-80.65,16.32,,,
576.83,2490.18,75,13,-93.87,7.42,,,
-182.27,2494.68,75,1,-81.97,13.61,,,
980.5,2497.11,75,13,-88.51,11.09,,,
-230.2,2497.3,75,1,-84.65,16.54,,,
173.3,2498.55,75,8,-86.22,12.76,,,
-31.89,2499.21,75,1,-77.45,13.84,,,
980.39,2499.76,75,8,-89.68,9.05,,,
980.32,2500.37,75,8,-89.0,9.1,,,
980.44,2501.59,75,2,-92.7,6.63,,,
778.32,2502.23,75,2,-90.54,9.0,,,
375.58,2502.52,75,2,-81.43,15.36,,,
980.25,2503.99,75,2,-87.57,6.51,,,
576.86,2505.07,75,13,-90.97,5.83,,,
980.48,2506.79,75,2,-86.43,6.46,,,
980.52,2508.15,75,13,-88.84,10.54,,,
-183.43,2509.55,75,1,-81.69,11.32,,,
980.22,2510.63,75,2,-88.23,6.33,,,
-230.18,2512.25,75,1,-83.75,13.75,,,
173.29,2513.52,75,8,-85.22,15.46,,,
-31.82,2514.16,75,1,-77.43,13.82,,,
980.55,2516.26,75,2,-87.84,9.71,,,
980.44,2517.07,75,2,-87.84,5.98,,,
778.34,2517.11,75,2,-88.36,10.65,,,
375.6,2517.51,75,2,-81.37,15.34,,,
980.22,2519.71,75,13,-87.45,13.21,,,
576.88,2519.98,75,13,-91.55,4.59,,,
980.55,2521.02,75,2,-90.43,7.38,,,
980.52,2522.7,75,13,-89.68,11.26,,,
980.54,2522.84,75,2,-89.3,6.42,,,
980.55,2523.1,75,13,-93.04,-13.11,,,
-184.6,2524.37,75,1,-80.56,12.26,,,
980.5,2524.9,75,13,-89.72,9.03,,,
-230.16,2527.17,75,1,-85.76,10.44,,,
980.22,2528.12,75,2,-87.98,9.13,,,
980.38,2528.15,75,2,-90.29,10.15,,,
